period,session_id,region,device,user_segment,peak_hour,promo_shown,app_open,store_view,cart_add,checkout_start,order_placed,sessions
baseline,ORD-00001,north,ios,new_user,1,1,1,1,1,1,1,1
baseline,ORD-00002,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00003,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00004,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00005,north,android,casual,0,1,1,1,1,1,1,1
baseline,ORD-00006,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00007,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00008,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00009,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00010,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00011,north,android,casual,1,0,1,1,1,1,0,1
baseline,ORD-00012,north,web,power_user,1,0,1,1,1,1,0,1
baseline,ORD-00013,north,ios,new_user,0,1,1,1,1,1,0,1
baseline,ORD-00014,north,android,casual,0,0,1,1,1,1,1,1
baseline,ORD-00015,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00016,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00017,north,android,casual,1,1,1,1,1,1,1,1
baseline,ORD-00018,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00019,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00020,north,android,casual,0,0,1,1,1,0,0,1
baseline,ORD-00021,north,web,power_user,1,1,1,1,1,0,0,1
baseline,ORD-00022,north,ios,new_user,1,0,1,1,1,0,0,1
baseline,ORD-00023,north,android,casual,0,0,1,1,1,0,0,1
baseline,ORD-00024,north,web,power_user,0,0,1,1,1,0,0,1
baseline,ORD-00025,north,ios,new_user,0,1,1,1,1,0,0,1
baseline,ORD-00026,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00027,north,web,power_user,1,0,1,1,1,1,1,1
baseline,ORD-00028,north,ios,new_user,0,0,1,1,1,1,1,1
baseline,ORD-00029,north,android,casual,0,1,1,1,1,1,1,1
baseline,ORD-00030,north,web,power_user,0,0,1,1,1,1,1,1
baseline,ORD-00031,north,ios,new_user,1,0,1,1,1,1,1,1
baseline,ORD-00032,north,android,casual,1,0,1,1,1,1,1,1
baseline,ORD-00033,north,web,power_user,0,1,1,1,1,1,1,1
baseline,ORD-00034,north,ios,new_user,0,0,1,1,1,1,0,1
baseline,ORD-00035,north,android,casual,0,0,1,1,1,1,0,1
baseline,ORD-00036,north,web,power_user,1,0,1,1,1,1,0,1
